Send Rates,Block Size,Avg Latency,Throughput
10,10,0.33,10
10,20,0.85,10
10,30,1.19,10
10,40,1.22,9.8
10,50,1.18,10
10,60,1.19,10
10,70,1.17,9.9
10,80,1.13,9.9
10,90,1.17,10
10.1,100,1.17,10
10,110,1.18,10
10,120,1.18,10
10,130,1.15,9.9
10,140,1.18,9.9
10,150,1.17,10
10,160,1.17,9.8
10,170,1.14,9.8
10,180,1.16,10
10,190,1.13,10
10,200,1.12,10
20.1,10,0.19,20.1
20.1,20,0.46,20.1
20.1,30,0.74,19.4
20.1,40,0.99,20
20.1,50,1.2,19.9
20.1,60,1.16,20
20.1,70,1.16,19.3
20.1,80,1.16,19.9
20.1,90,1.15,19.6
20.1,100,1.18,19.9
20.1,110,1.18,19.8
20.1,120,1.16,20.1
20.1,130,1.18,19.9
20.1,140,1.16,19.3
20.1,150,1.14,19.4
20.1,160,1.18,19.8
20.1,170,1.16,20
20.1,180,1.17,19.4
20.1,190,1.17,19.9
20.1,200,1.16,19.4
30.1,10,0.13,30.1
30.1,20,0.31,30.1
30.1,30,0.51,28.5
30.2,40,0.71,30.1
30.1,50,0.85,30.1
30.2,60,1.04,29.3
30.1,70,1.16,28.8
30.1,80,1.16,28.6
30.1,90,1.15,28.6
30.1,100,1.14,28.7
30.2,110,1.16,28.5
30.1,120,1.14,28.6
30.2,130,1.16,28.5
30.1,140,1.16,28.6
30.1,150,1.16,28.4
30.1,160,1.14,28.5
30.1,170,1.16,28.6
30.1,180,1.17,28.6
30.1,190,1.16,28.4
30.1,200,1.15,28.8
40.2,10,0.11,40.1
40.2,20,0.24,40.1
40.2,30,0.41,37.3
40.2,40,0.67,38.2
40.2,50,0.65,40.1
40.2,60,0.81,38.3
40.2,70,0.93,37.6
40.2,80,1.08,38.3
40.2,90,1.14,37.8
40.2,100,1.14,37.6
40.2,110,1.13,37.6
40.2,120,1.15,37.8
40.2,130,1.16,37.8
40.2,140,1.14,37.6
40.2,150,1.14,37.6
40.2,160,1.16,37.6
40.2,170,1.15,37.3
40.2,180,1.13,37.6
40.2,190,1.16,37.7
40.2,200,1.13,37.5
50.2,10,0.09,50.1
50.2,20,0.21,50.1
50.2,30,0.33,45.7
50.2,40,0.44,50
50.2,50,0.54,50
50.2,60,0.68,46.9
50.2,70,0.78,46.2
50.2,80,0.9,46.9
50.2,90,0.99,45.7
50.2,100,1.09,49.9
50.2,110,1.18,48.4
50.2,120,1.17,48.7
50.3,130,1.23,47.8
50.2,140,1.19,48
50.2,150,1.2,48
50.2,160,1.19,48.2
50.2,170,1.18,48.6
50.2,180,1.2,48.6
50.2,190,1.16,48.4
50.2,200,1.16,48.6
60.2,10,0.08,60.2
60.3,20,0.18,60.1
60.3,30,0.29,53.9
60.2,40,0.38,60.1
60.3,50,0.51,59.9
60.3,60,0.6,55.3
60.3,70,0.67,54.3
60.3,80,0.79,55.2
60.3,90,0.86,53.8
60.3,100,0.94,59.8
60.2,110,1.04,53.8
60.3,120,1.18,55.2
60.3,130,1.23,54
60.3,140,1.19,59.8
60.2,150,1.22,54.3
60.3,160,1.2,54.1
60.3,170,1.26,53.7
60.3,180,1.19,59.5
60.3,190,1.2,53.6
60.3,200,1.2,53.8
70.3,10,0.14,61.8
70.3,20,0.18,70
70.3,30,0.29,61.7
70.2,40,0.44,62.8
70.3,50,0.55,63.6
70.2,60,0.56,63.2
70.4,70,0.61,62.2
70.4,80,0.71,63.2
70.3,90,0.77,61.6
70.3,100,0.84,69.7
70.3,110,0.93,61.8
70.3,120,1.06,63.3
70.2,130,1.08,61.6
70.3,140,1.05,61.7
70.2,150,1.07,69.8
70.3,160,1.05,69.3
70.3,170,1.04,69.9
70.2,180,1.06,61.8
70.3,190,1.04,61.6
70.3,200,1.02,69.8
80.4,10,0.08,80.2
80.5,20,0.25,69.7
80.3,30,0.27,69.2
80.4,40,0.34,79.9
80.4,50,0.5,71.5
80.4,60,0.5,70.8
80.3,70,0.56,69.7
80.4,80,0.66,70.8
80.3,90,0.7,69.2
80.2,100,0.89,74.3
80.4,110,0.85,69.2
80.3,120,0.98,70.9
80.4,130,0.88,69.4
80.3,140,0.88,69.4
80.2,150,0.88,70.3
80.2,160,0.92,70.3
80.3,170,0.92,69.7
80.4,180,0.89,70.1
80.2,190,0.9,70.1
80.3,200,0.9,69.8
90.2,10,0.11,76.6
90.4,20,0.23,77
90.4,30,0.29,76.5
90.4,40,0.41,78.2
90.1,50,0.39,89.5
90.4,60,0.47,78.3
90.3,70,0.55,77.1
90.4,80,0.62,78.3
90.3,90,0.65,76.4
90.4,100,0.83,82
90.4,110,0.79,76.3
90.4,120,0.95,78.4
90.5,130,0.9,80.6
90.3,140,0.86,81.2
90.4,150,0.83,81.3
90.3,160,0.9,81.1
90.4,170,0.9,80.7
90.4,180,0.84,81.2
90.3,190,0.86,80.9
90.3,200,0.88,81.8
100.3,10,0.11,83.7
100.5,20,0.19,84
100.5,30,0.3,83.5
100,40,0.61,83.1
100.4,50,0.45,85.7
100.4,60,0.47,85.3
100.3,70,0.51,84.3
100.4,80,0.58,85.3
100.3,90,0.6,83.3
100.4,100,0.79,89.6
100.4,110,0.76,83.1
100.4,120,0.86,85.4
100.4,130,0.78,97
100.3,140,0.78,96.2
100.5,150,0.77,96.2
100.5,160,0.78,96.5
100.3,170,0.78,97.3
100.4,180,0.76,98.6
100.5,190,0.74,96.5
100.4,200,0.75,96.8
110.5,10,0.11,90.3
110.2,20,0.35,90.9
110.4,30,0.26,90.3
110.6,40,0.45,92.5
110.5,50,0.5,92.7
110.5,60,0.47,91.9
110.3,70,0.48,90.8
110.6,80,0.58,92.3
110.3,90,0.57,90.3
110.4,100,0.76,96.3
110.6,110,0.73,90.6
110.3,120,0.86,92.4
110.5,130,0.84,97
110.3,140,0.88,96.6
110.3,150,0.85,96.7
110.6,160,0.88,95.8
110.4,170,0.85,96.4
110.4,180,0.83,96.5
110.4,190,0.85,96.2
110.2,200,0.85,96.8
120.6,10,0.17,97
120.5,20,1.01,96.7
120.4,30,0.29,96.5
120.4,40,0.39,119.3
120.4,50,0.44,99.2
120.6,60,0.44,98.9
120.5,70,0.46,97.6
120.5,80,0.57,99.1
120.2,90,0.58,97
120.4,100,0.79,103.3
120.3,110,0.73,96.7
120.5,120,0.83,99
120.6,130,0.94,97
120.6,140,0.85,98.5
120.5,150,0.82,97.2
120.4,160,0.83,97.6
120.4,170,0.8,97.2
120.5,180,0.76,96.9
120.4,190,0.8,97.4
120.2,200,0.81,97.9
130.4,10,0.28,129.6
130.1,20,0.58,104
130.4,30,0.59,103.5
130.8,40,0.43,106
130.3,50,0.57,105.5
130.6,60,0.44,105.4
130.6,70,0.44,103.9
130.5,80,0.56,105.5
130.3,90,0.57,103.4
130.6,100,0.74,110.1
130.5,110,0.67,103.4
130.5,120,0.8,105.4
130.4,130,1.01,119.8
130.6,140,0.8,120.3
130.2,150,0.82,121.9
130.5,160,0.84,121.3
130.6,170,0.79,120.6
130.2,180,0.84,121.7
130.3,190,0.83,121.9
130.5,200,0.82,120.9
140.6,10,0.36,109
140.7,20,0.55,110.1
140.5,30,0.35,138.1
140.5,40,1.09,111.6
140.4,50,0.46,111.8
140.5,60,0.44,111.6
140.5,70,0.45,110.2
140.5,80,0.53,111.4
140.4,90,0.55,109.1
140.2,100,0.76,116.3
140.6,110,0.72,109.4
140.6,120,0.88,111.5
140.6,130,0.75,121.4
140.4,140,0.84,121.6
140.6,150,0.75,121.5
140.6,160,0.79,121.5
140.6,170,0.76,121
140.5,180,0.78,121.4
140.6,190,0.8,121.4
140.6,200,0.79,121.6
150.4,10,0.72,115.1
150.7,20,1.75,114.3
148.9,30,0.86,110.5
149,40,2.15,111.8
150.2,50,0.81,118
150.1,60,0.43,117.9
150.5,70,0.43,116
150.4,80,0.55,118
150.6,90,0.55,115.5
150.4,100,0.77,122.6
150.7,110,0.74,115.3
150.1,120,0.81,117.4
150.4,130,0.82,119.9
150.7,140,0.87,120.9
150.5,150,0.82,120.1
150.7,160,0.91,119.9
150.2,170,0.9,120.7
150.6,180,0.82,120.9
150.7,190,0.86,121.4
150.2,200,0.85,121.3
160.6,10,0.47,120.3
160.6,20,1.52,119.1
160.6,30,0.56,120.1
160.6,40,1.08,121.4
160.6,50,1.03,123.3
160.5,60,0.47,123.6
160.7,70,0.45,121
160.1,80,0.6,123.1
160.8,90,0.58,121.2
160.2,100,0.89,127.7
160.6,110,0.76,120.9
160.5,120,0.96,123.2
160.6,130,1.2,121.8
160.1,140,1.16,121.3
160.3,150,0.96,121.6
159.8,160,1.07,121.2
160.5,170,0.9,120.4
160.6,180,0.72,122.7
160.5,190,0.85,121.6
160.6,200,0.91,121.8
162.6,10,2.2,118.8
167.2,20,2.37,122.6
170.6,30,1.26,124.5
170.4,40,0.9,125.2
170.5,50,1.65,125.4
170.5,60,0.52,128.8
170.2,70,0.49,127.2
170.9,80,0.59,128.5
170.2,90,1.21,128.5
170.3,100,0.95,131.6
170.6,110,0.75,126.4
170.6,120,0.88,129
169.8,130,0.94,161.2
170.4,140,0.91,160.3
170.4,150,0.85,161
170.8,160,1.07,159.7
170.6,170,0.92,160.5
170.5,180,0.77,160.3
170.3,190,0.91,159.9
170.3,200,0.92,159.6
135.2,10,2.21,105.4
175.9,20,2.03,126.4
179,30,1.68,129.1
157.2,40,2.73,115.7
180.9,50,1.77,129.5
180.8,60,0.68,132.1
180.7,70,0.62,132.4
180,80,0.87,132.7
