Send Rates,Block Size,Avg Latency,Throughput
10,10,0.32,10
10,20,0.82,10
10,30,1.18,9.8
10,40,1.18,9.8
10,50,1.18,9.8
10,60,1.18,9.9
10,70,1.19,9.8
10,80,1.19,10
10,90,1.16,9.8
10,100,1.19,9.8
10,110,1.18,9.8
10,120,1.2,9.9
10,130,1.21,10
10,140,1.18,9.8
10,150,1.18,9.8
10,160,1.16,10
10,170,1.16,10
10,180,1.18,9.9
10,190,1.16,10
10,200,1.17,10
10,210,1.18,9.9
10,220,1.17,9.9
10,230,1.16,9.8
10,240,1.19,9.8
10,250,1.15,9.8
10,260,1.17,9.8
10,270,1.17,9.9
10,280,1.2,9.9
10,290,1.16,9.9
10,300,1.15,9.8
10,310,1.16,9.9
10,320,1.17,9.9
10,330,1.18,9.9
10,340,1.15,10
10,350,1.17,10
10,360,1.15,9.9
10,370,1.16,9.9
10,380,1.17,9.8
10,390,1.17,9.9
10,400,1.14,9.9
10,410,1.17,9.8
10,420,1.16,9.9
10,430,1.17,9.9
10,440,1.16,9.9
10,450,1.17,9.9
10,460,1.18,10
10,470,1.18,10
10,480,1.17,9.9
10,490,1.15,9.9
10,500,1.18,9.9
10,510,1.14,9.9
10,520,1.2,9.8
10,530,1.17,9.8
10,540,1.14,10
10,550,1.14,10
10,560,1.18,9.8
10,570,1.16,9.9
10,580,1.17,9.8
10,590,1.14,9.9
10,600,1.17,9.9
10,610,1.16,9.8
10,620,1.14,10
10,630,1.17,10
10,640,1.17,10
10,650,1.19,10
10,660,1.2,9.9
10,670,1.17,10
10,680,1.18,10
10,690,1.14,9.9
10,700,1.16,9.9
10,710,1.16,9.9
10,720,1.18,9.8
10,730,1.17,9.9
10,740,1.18,9.8
10,750,1.18,9.8
10,760,1.2,10
10,770,1.17,9.9
10,780,1.15,9.8
10,790,1.18,9.9
10,800,1.17,9.9
15.1,10,0.24,15.1
15.1,20,0.58,15.1
15.1,30,0.95,14.7
15.1,40,1.2,14.8
15.1,50,1.18,14.8
15.1,60,1.2,14.8
15.1,70,1.17,14.8
15.1,80,1.18,14.8
15.1,90,1.18,15
15.1,100,1.2,14.8
15.1,110,1.19,14.8
15.1,120,1.17,14.9
15.1,130,1.2,14.7
15.1,140,1.19,14.8
15.1,150,1.17,14.8
15.1,160,1.19,14.7
15.1,170,1.19,14.8
15.1,180,1.19,14.9
15.1,190,1.17,14.8
15.1,200,1.19,14.7
15.1,210,1.19,14.8
15.1,220,1.18,14.8
15.1,230,1.2,14.7
15.1,240,1.18,14.8
15.1,250,1.17,14.8
15.1,260,1.18,15
15.1,270,1.15,15
15.1,280,1.2,14.8
15.1,290,1.2,14.8
15.1,300,1.21,14.8
15.1,310,1.18,14.8
15.1,320,1.21,14.6
15.1,330,1.21,14.7
15.1,340,1.19,14.7
15.1,350,1.17,14.8
15.1,360,1.19,14.8
15.1,370,1.18,14.7
15.1,380,1.18,14.8
15.1,390,1.18,14.9
15.1,400,1.18,14.9
15.1,410,1.18,14.8
15.1,420,1.18,14.9
15.1,430,1.18,14.8
15.1,440,1.19,14.8
15.1,450,1.21,14.8
15.1,460,1.2,14.8
15.1,470,1.17,14.7
15.1,480,1.18,14.7
15.1,490,1.19,14.7
15.1,500,1.19,14.8
15.1,510,1.19,14.7
15.1,520,1.2,14.7
15.1,530,1.17,15
15.1,540,1.18,14.9
15.1,550,1.18,14.8
15.1,560,1.19,14.8
15.1,570,1.17,14.7
15.1,580,1.16,14.8
15.1,590,1.2,14.8
15.1,600,1.17,14.8
15.1,610,1.18,14.9
15.1,620,1.17,14.7
15.1,630,1.2,14.7
15.1,640,1.19,14.8
15.1,650,1.17,14.8
15.1,660,1.2,14.8
15.1,670,1.19,14.8
15.1,680,1.21,14.8
15.1,690,1.14,14.9
15.1,700,1.18,14.8
15.1,710,1.2,14.9
15.1,720,1.19,14.8
15.1,730,1.2,14.9
15.1,740,1.2,14.8
15.1,750,1.17,15.1
15.1,760,1.18,14.9
15.1,770,1.19,14.7
15.1,780,1.19,14.9
15.1,790,1.18,14.8
15.1,800,1.19,14.8
20.1,10,0.19,20.1
20.1,20,0.45,20.1
20.1,30,0.73,19.4
20.1,40,0.99,20.1
20.1,50,1.18,19.9
20.1,60,1.17,20
20.1,70,1.17,19.9
20.1,80,1.15,20
20.1,90,1.17,19.9
20.1,100,1.17,19.5
20.1,110,1.18,19.9
20.1,120,1.17,19.9
20.1,130,1.18,19.9
20.1,140,1.19,19.8
20.1,150,1.17,19.3
20.1,160,1.19,19.8
20.1,170,1.18,19.9
20.1,180,1.19,19.9
20.1,190,1.17,19.9
20.1,200,1.16,19.3
20.1,210,1.19,19.8
20.1,220,1.17,20
20.1,230,1.18,19.3
20.1,240,1.17,19.3
20.1,250,1.17,20
20.1,260,1.17,19.9
20.1,270,1.18,19.7
20.1,280,1.16,20
20.1,290,1.17,19.9
20.1,300,1.18,19.9
20.1,310,1.17,19.9
20.1,320,1.18,20
20.1,330,1.17,20
20.1,340,1.15,20.1
20.1,350,1.17,20
20.1,360,1.18,19.9
20.1,370,1.18,19.9
20.1,380,1.17,19.7
20.1,390,1.16,19.3
20.1,400,1.17,19.9
20.1,410,1.18,19.9
20.1,420,1.17,19.4
20.1,430,1.16,19.3
20.1,440,1.18,19.8
