Send Rates,Block Size,Avg Latency,Throughput
10,10,0.32,10
10,20,0.83,10
10,30,1.17,9.9
10,40,1.16,9.8
10,50,1.16,9.8
10,60,1.15,10
10,70,1.13,10
10,80,1.2,9.9
10,90,1.16,9.8
10,100,1.14,10
10,110,1.15,9.8
10,120,1.17,9.8
10.1,130,1.2,9.9
10,140,1.18,9.9
10,150,1.16,9.8
10,160,1.17,9.9
10,170,1.19,9.9
10,180,1.17,9.9
10,190,1.18,9.9
10,200,1.18,9.8
20.1,10,0.19,20.1
20.1,20,0.46,20.1
20.1,30,0.72,19.4
20.1,40,0.98,20.1
20.1,50,1.17,20.1
20.1,60,1.17,20
20.1,70,1.15,20
20.1,80,1.14,20
20.1,90,1.16,19.9
20.1,100,1.16,20
20.1,110,1.14,19.4
20.1,120,1.16,19.3
20.1,130,1.18,19.3
20.1,140,1.18,19.8
20.1,150,1.15,19.3
20.1,160,1.18,19.8
20.1,170,1.16,19.9
20.1,180,1.19,19.8
20.1,190,1.18,19.8
20.1,200,1.19,19.8
30.1,10,0.14,30.1
30.1,20,0.31,30.1
30.1,30,0.51,28.5
30.1,40,0.67,30.1
30.1,50,0.85,30.1
30.1,60,1.05,29.3
30.1,70,1.14,28.6
30.1,80,1.15,28.6
30.1,90,1.16,28.8
30.1,100,1.13,28.7
30.1,110,1.16,28.8
30.1,120,1.17,28.5
30.1,130,1.18,28.6
30.2,140,1.16,28.7
30.1,150,1.15,28.6
30.1,160,1.16,28.5
30.1,170,1.16,28.6
30.1,180,1.17,28.7
30.1,190,1.16,28.5
30.1,200,1.15,28.6
40.2,10,0.11,40.1
40.2,20,0.24,40.1
40.2,30,0.39,37.3
40.2,40,0.51,40.1
40.2,50,0.67,40.1
40.2,60,0.83,38.3
40.2,70,0.94,37.6
40.2,80,1.08,38.3
40.2,90,1.16,37.6
40.2,100,1.16,37.7
40.2,110,1.17,37.2
40.2,120,1.15,37.4
40.2,130,1.16,37.6
40.2,140,1.16,37.6
40.2,150,1.16,37.4
40.2,160,1.16,37.6
40.2,170,1.15,37.4
40.2,180,1.13,37.3
40.2,190,1.16,37.6
40.2,200,1.15,37.3
50.3,10,0.1,50.2
50.2,20,0.2,50.1
50.2,30,0.33,45.7
50.2,40,0.42,50.1
50.2,50,0.55,50.1
50.2,60,0.7,46.9
50.2,70,0.79,46.1
50.2,80,0.92,47
50.2,90,0.99,45.8
50.2,100,1.11,49.9
50.2,110,1.23,48
50.2,120,1.23,48
50.2,130,1.23,48
50.2,140,1.2,47.7
50.2,150,1.18,48.4
50.2,160,1.2,47.5
50.2,170,1.21,48
50.2,180,1.21,48.2
50.2,190,1.2,48
