Time,Number
2014-09-01 00:05,6850
2014-09-01 00:10,6959
2014-09-01 00:15,7154
2014-09-01 00:20,5441
2014-09-01 00:25,5242
2014-09-01 00:30,5037
2014-09-01 00:35,6659
2014-09-01 00:40,6151
2014-09-01 00:45,4740
2014-09-01 00:50,6043
2014-09-01 00:55,4034
2014-09-01 01:00,6153
2014-09-01 01:05,4035
2014-09-01 01:10,4644
2014-09-01 01:15,3327
2014-09-01 01:20,4639
2014-09-01 01:25,5643
2014-09-01 01:30,4635
2014-09-01 01:35,4539
2014-09-01 01:40,4336
2014-09-01 01:45,3225
2014-09-01 01:50,3632
2014-09-01 01:55,3127
2014-09-01 02:00,3628
2014-09-01 02:05,10582
2014-09-01 02:10,11196
2014-09-01 02:15,9674
2014-09-01 02:20,8267
2014-09-01 02:25,8471
2014-09-01 02:30,7558
2014-09-01 02:35,9482
2014-09-01 02:40,8975
2014-09-01 02:45,7967
2014-09-01 02:50,9168
2014-09-01 02:55,6354
2014-09-01 03:00,9378
2014-09-01 03:05,7566
2014-09-01 03:10,7466
2014-09-01 03:15,5647
2014-09-01 03:20,8573
2014-09-01 03:25,8265
2014-09-01 03:30,8264
2014-09-01 03:35,6659
2014-09-01 03:40,7467
2014-09-01 03:45,5847
2014-09-01 03:50,5548
2014-09-01 03:55,5546
2014-09-01 04:00,6151
2014-09-01 04:05,7058
2014-09-01 04:10,6053
2014-09-01 04:15,4233
2014-09-01 04:20,4739
2014-09-01 04:25,5241
2014-09-01 04:30,6252
2014-09-01 04:35,4836
2014-09-01 04:40,5238
2014-09-01 04:45,5039
2014-09-01 04:50,4537
2014-09-01 04:55,4535
2014-09-01 05:00,5141
2014-09-01 05:05,5541
2014-09-01 05:10,5536
2014-09-01 05:15,4535
2014-09-01 05:20,6548
2014-09-01 05:25,5538
2014-09-01 05:30,6956
2014-09-01 05:35,3931
2014-09-01 05:40,5850
2014-09-01 05:45,4836
2014-09-01 05:50,3530
2014-09-01 05:55,4334
2014-09-01 06:00,4941
2014-09-01 06:05,5542
2014-09-01 06:10,4434
2014-09-01 06:15,3728
2014-09-01 06:20,4433
2014-09-01 06:25,5136
2014-09-01 06:30,5946
2014-09-01 06:35,5035
2014-09-01 06:40,5535
2014-09-01 06:45,4728
2014-09-01 06:50,4233
2014-09-01 06:55,4737
2014-09-01 07:00,6039
2014-09-01 07:05,4829
2014-09-01 07:10,5632
2014-09-01 07:15,5440
2014-09-01 07:20,6739
2014-09-01 07:25,6337
2014-09-01 07:30,7054
2014-09-01 07:35,6547
2014-09-01 07:40,5745
2014-09-01 07:45,6043
2014-09-01 07:50,5342
2014-09-01 07:55,5448
2014-09-01 08:00,6353
2014-09-01 08:05,5843
2014-09-01 08:10,6852
2014-09-01 08:15,5842
2014-09-01 08:20,7462
2014-09-01 08:25,7957
2014-09-01 08:30,7355
2014-09-01 08:35,8370
2014-09-01 08:40,7758
2014-09-01 08:45,8961
2014-09-01 08:50,7257
2014-09-01 08:55,7363
2014-09-01 09:00,8657
2014-09-01 09:05,9768
2014-09-01 09:10,8259
2014-09-01 09:15,10277
2014-09-01 09:20,10168
2014-09-01 09:25,11385
2014-09-01 09:30,10584
2014-09-01 09:35,10577
2014-09-01 09:40,8372
2014-09-01 09:45,9977
2014-09-01 09:50,9270
2014-09-01 09:55,11698
2014-09-01 10:00,9781
2014-09-01 10:05,10479
2014-09-01 10:10,12300
2014-09-01 10:15,11486
2014-09-01 10:20,11790
2014-09-01 10:25,10881
2014-09-01 10:30,12499
2014-09-01 10:35,12103
2014-09-01 10:40,11490
2014-09-01 10:45,14612
2014-09-01 10:50,11790
2014-09-01 10:55,12600
2014-09-01 11:00,12490
2014-09-01 11:05,14811
2014-09-01 11:10,12700
2014-09-01 11:15,13302
2014-09-01 11:20,14814
2014-09-01 11:25,17841
2014-09-01 11:30,16027
2014-09-01 11:35,13300
2014-09-01 11:40,13813
2014-09-01 11:45,14416
2014-09-01 11:50,14311
2014-09-01 11:55,15821
2014-09-01 12:00,15511
2014-09-01 12:05,15214
2014-09-01 12:10,16123
2014-09-01 12:15,17237
2014-09-01 12:20,16521
2014-09-01 12:25,14416
2014-09-01 12:30,14711
2014-09-01 12:35,15016
2014-09-01 12:40,14616
2014-09-01 12:45,17241
2014-09-01 12:50,15714
